Date,Price,Open,High,Low,Vol.,Change %
01/01/15,"6,749.40","6,566.09","6,864.97","6,298.15",16.13B,2.79%
02/01/15,"6,946.66","6,749.40","6,967.24","6,731.99",14.79B,2.92%
03/01/15,"6,773.04","6,946.66","7,065.08","6,693.80",17.93B,-2.50%
04/01/15,"6,960.63","6,773.04","7,122.74","6,765.40",15.08B,2.77%
05/01/15,"6,984.43","6,960.63","7,083.72","6,810.05",15.79B,0.34%
06/01/15,"6,520.98","6,984.43","7,037.58","6,520.98",16.46B,-6.64%
07/01/15,"6,696.28","6,520.98","6,813.41","6,430.36",15.85B,2.69%
08/01/15,"6,247.94","6,696.28","6,764.82","5,768.22",17.67B,-6.70%
09/01/15,"6,061.61","6,247.94","6,284.17","5,877.08",18.51B,-2.98%
10/01/15,"6,361.09","6,061.61","6,487.89","6,051.62",15.69B,4.94%
11/01/15,"6,356.09","6,361.09","6,459.46","6,079.79",14.57B,-0.08%
12/01/15,"6,242.32","6,356.09","6,447.34","5,871.88",13.85B,-1.79%
01/01/16,"6,083.79","6,242.32","6,242.32","5,639.88",17.94B,-2.54%
02/01/16,"6,097.09","6,083.79","6,115.37","5,499.51",19.36B,0.22%
03/01/16,"6,174.90","6,097.09","6,237.02","6,036.70",16.59B,1.28%
04/01/16,"6,241.89","6,174.90","6,427.32","6,061.85",15.84B,1.08%
05/01/16,"6,230.79","6,241.89","6,290.07","6,050.21",15.08B,-0.18%
06/01/16,"6,504.33","6,230.79","6,504.33","5,788.74",25.47B,4.39%
07/01/16,"6,724.43","6,504.33","6,780.05","6,432.47",19.72B,3.38%
08/01/16,"6,781.51","6,724.43","6,955.34","6,615.83",16.19B,0.85%
09/01/16,"6,899.33","6,781.51","6,941.09","6,654.48",18.67B,1.74%
10/01/16,"6,954.22","6,899.33","7,129.83","6,898.09",19.25B,0.80%
11/01/16,"6,783.79","6,954.22","6,997.25","6,676.56",20.47B,-2.45%
12/01/16,"7,142.83","6,783.79","7,142.83","6,678.74",15.40B,5.29%
01/01/17,"7,099.15","7,142.83","7,354.14","7,099.15",17.90B,-0.61%
02/01/17,"7,263.44","7,099.15","7,329.56","7,093.57",16.95B,2.31%
03/01/17,"7,322.92","7,263.44","7,447.00","7,255.78",20.64B,0.82%
04/01/17,"7,203.94","7,322.92","7,406.35","7,096.83",16.25B,-1.62%
05/01/17,"7,519.95","7,203.94","7,586.45","7,203.94",18.87B,4.39%
06/01/17,"7,312.72","7,519.95","7,598.99","7,302.71",19.72B,-2.76%
07/01/17,"7,372.00","7,312.72","7,515.12","7,303.46",16.51B,0.81%
08/01/17,"7,430.62","7,372.00","7,551.85","7,289.20",14.95B,0.80%
09/01/17,"7,372.76","7,430.62","7,460.52","7,196.58",15.93B,-0.78%
10/01/17,"7,493.08","7,372.76","7,565.11","7,372.73",17.74B,1.63%
11/01/17,"7,326.67","7,493.08","7,582.85","7,326.67",18.75B,-2.22%
12/01/17,"7,687.77","7,326.67","7,697.62","7,288.73",14.16B,4.93%
01/01/18,"7,533.55","7,687.77","7,792.56","7,521.77",17.01B,-2.01%
02/01/18,"7,231.91","7,533.55","7,554.73","7,073.03",17.11B,-4.00%
03/01/18,"7,056.61","7,231.91","7,254.87","6,866.94",17.62B,-2.42%
04/01/18,"7,509.30","7,056.61","7,546.16","6,971.75",16.09B,6.42%
05/01/18,"7,678.20","7,509.30","7,903.50","7,492.39",19.19B,2.25%
06/01/18,"7,636.93","7,678.20","7,793.45","7,508.32",20.02B,-0.54%
07/01/18,"7,748.76","7,636.93","7,782.90","7,540.71",16.07B,1.46%
08/01/18,"7,432.42","7,748.76","7,790.17","7,428.67",15.62B,-4.08%
09/01/18,"7,510.20","7,432.42","7,552.02","7,220.50",15.32B,1.05%
10/01/18,"7,128.10","7,510.20","7,526.20","6,851.59",19.12B,-5.09%
11/01/18,"6,980.24","7,128.10","7,196.39","6,904.21",18.83B,-2.07%
12/01/18,"6,728.13","6,980.24","7,145.49","6,536.53",15.33B,-3.61%
01/01/19,"6,968.85","6,728.13","7,001.94","6,599.48",15.44B,3.58%
02/01/19,"7,074.73","6,968.85","7,261.63","6,968.85",13.67B,1.52%
03/01/19,"7,279.19","7,074.73","7,370.61","7,074.73",15.65B,2.89%
04/01/19,"7,418.22","7,279.19","7,528.93","7,279.19",13.70B,1.91%
05/01/19,"7,161.71","7,418.22","7,446.46","7,130.85",15.76B,-3.46%
06/01/19,"7,425.63","7,161.71","7,469.19","7,079.71",14.52B,3.69%
07/01/19,"7,586.78","7,425.63","7,727.49","7,425.63",14.65B,2.17%
08/01/19,"7,207.18","7,586.78","7,609.98","7,020.22",16.06B,-5.00%
09/01/19,"7,408.21","7,207.18","7,440.77","7,199.40",15.85B,2.79%
10/01/19,"7,248.38","7,408.21","7,433.24","7,004.43",18.28B,-2.16%
11/01/19,"7,346.53","7,248.38","7,446.00","7,197.33",14.23B,1.35%
12/01/19,"7,542.44","7,346.53","7,665.40","7,131.16",14.57B,2.67%
01/01/20,"7,286.01","7,542.44","7,689.67","7,275.03",13.19B,-3.40%
02/01/20,"6,580.61","7,286.01","7,547.65","6,460.08",16.54B,-9.68%
03/01/20,"5,671.96","6,580.61","6,856.27","4,898.79",37.39B,-13.81%
04/01/20,"5,901.21","5,671.96","6,151.58","5,395.07",23.75B,4.04%
05/01/20,"6,076.60","5,901.21","6,234.04","5,661.14",20.95B,2.97%
06/01/20,"6,169.74","6,076.60","6,511.84","5,952.44",21.94B,1.53%
07/01/20,"5,897.76","6,169.74","6,323.55","5,897.76",16.14B,-4.41%
08/01/20,"5,963.57","5,897.76","6,297.20","5,857.06",11.92B,1.12%
09/01/20,"5,866.10","5,963.57","6,123.69","5,771.49",16.79B,-1.63%
10/01/20,"5,577.27","5,866.10","6,040.47","5,525.52",16.27B,-4.92%
11/01/20,"6,266.19","5,577.27","6,468.73","5,554.73",23.27B,12.35%
12/01/20,"6,460.52","6,266.19","6,676.60","6,263.60",17.48B,3.10%
01/01/21,"6,407.46","6,460.52","6,903.61","6,397.24",15.24B,-0.82%
02/01/21,"6,483.43","6,407.46","6,799.92","6,407.46",16.90B,1.19%
03/01/21,"6,713.63","6,483.43","6,812.78","6,483.43",19.56B,3.55%
04/01/21,"6,969.81","6,713.63","7,040.26","6,713.63",13.53B,3.82%
05/01/21,"7,022.61","6,969.81","7,164.18","6,823.60",14.31B,0.76%
06/01/21,"7,037.47","7,022.61","7,217.54","6,948.63",14.95B,0.21%
07/01/21,"7,032.30","7,037.47","7,170.60","6,813.03",13.54B,-0.07%
08/01/21,"7,119.70","7,032.30","7,224.46","6,993.06",12.39B,1.24%
09/01/21,"7,086.42","7,119.70","7,195.62","6,828.28",15.66B,-0.47%
10/01/21,"7,237.57","7,086.42","7,281.17","6,945.50",15.35B,2.13%
11/01/21,"7,059.45","7,237.57","7,402.68","6,989.66",18.02B,-2.46%
12/01/21,"7,384.54","7,059.45","7,457.14","7,059.35",14.28B,4.61%
01/01/22,"7,464.37","7,384.54","7,619.01","7,283.38",17.84B,1.08%
02/01/22,"7,458.25","7,464.37","7,687.27","7,204.74",19.69B,-0.08%
03/01/22,"7,515.68","7,458.25","7,595.42","6,787.98",27.52B,0.77%
04/01/22,"7,544.55","7,515.68","7,669.56","7,339.53",17.23B,0.38%
05/01/22,"7,607.66","7,544.55","7,648.26","7,158.53",19.91B,0.84%
06/01/22,"7,169.28","7,607.66","7,646.66","6,998.17",17.75B,-5.76%
